gene	weight	beta_meta	se_meta	I2	power	penalty_het	penalty_power	penalty_final	beta_capped	cap_c	capped_flag
ENSMUSG00000026536.10	0.5438837027037525	2.7194185135187623	0.04638153919505862	0.954990296791835	1	0.045009703208165	1	0.2	2.7194185135187623	3.97495376800076	FALSE
ENSMUSG00000090942.2	0.5428299909890802	2.714149954945401	0.06748781768454556	0.968045744813918	1	0.03195425518608197	1	0.2	2.714149954945401	3.97495376800076	FALSE
ENSMUSG00000025498.16	0.5397366575765807	2.6986832878829037	0.03693065738590067	0.9390096809745035	1	0.06099031902549645	1	0.2	2.6986832878829037	3.97495376800076	FALSE
ENSMUSG00000099569.2	0.5367824182487662	1.846663027932804	0.11704931089556184	0.7093230274666557	0.9999999999770164	0.29067697253334435	1	0.29067697253334435	1.846663027932804	3.97495376800076	FALSE
ENSMUSG00000066363.13	0.5339752188379883	2.669876094189941	0.04306348373048128	0.9254510730329032	1	0.0745489269670968	1	0.2	2.669876094189941	3.97495376800076	FALSE
ENSMUSG00000029561.18	0.5329359274802595	2.6646796374012975	0.03947661277062647	0.9514961278145022	1	0.04850387218549779	1	0.2	2.6646796374012975	3.97495376800076	FALSE
ENSMUSG00000020641.17	0.5323982361195613	2.6619911805978065	0.04879893262918288	0.9938217559752766	1	0.006178244024723445	1	0.2	2.6619911805978065	3.97495376800076	FALSE
ENSMUSG00000073489.7	0.5300846505300026	2.6504232526500133	0.04336035464372206	0.9797296641556472	1	0.020270335844352783	1	0.2	2.6504232526500133	3.97495376800076	FALSE
ENSMUSG00000068245.15	0.529074043541202	2.64537021770601	0.03671420076070956	0.9601168232578188	1	0.039883176742181226	1	0.2	2.64537021770601	3.97495376800076	FALSE
ENSMUSG00000053846.6	0.5278354376441221	2.6391771882206103	0.05951793474411922	0.9828388874539836	1	0.017161112546016377	1	0.2	2.6391771882206103	3.97495376800076	FALSE
