gse_id	split_id	split_path	manuscript_role	manuscript_interpretation_group	manuscript_interpretation_label	contrast_label	control_label	tissue	time_h	score_id	score_label	delta_score	cohens_d	auc_secondary	n_controls	n_delivery	pass
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	secondary_support	secondary_support_not_primary	Secondary support	delivery_tlnp_sinc_1mg_kg__vs__baseline_0	baseline_0	tissue	72	IMRS	IMRS	0.7571044035156834	0.8986591543041338	0.7777777777777778	3	3	TRUE
GSE262515_cell_line	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	secondary_support	secondary_support_not_primary	Secondary support	delivery_tlnp_sihbv_50nm__vs__baseline_0	baseline_0	cell line	16	IMRS	IMRS	3.0762415648459083	1.5122300370806827	1	3	3	TRUE
GSE262515_cell_line	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	secondary_support	secondary_support_not_primary	Secondary support	delivery_tlnp_sinc_50nm__vs__baseline_0	baseline_0	cell line	16	IMRS	IMRS	-0.48131475690837977	-0.2659897795561108	0.5555555555555556	3	3	TRUE
GSE178313	GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	extended_validation	extended_validation	Extended validation	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	mouse_repopulated_pbs	Liver	24	IMRS	IMRS	6.743275601355258	1.9394765242291057	1	4	4	TRUE
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	primary_acute_validation	primary_acute_validation	Primary acute validation	delivery_vaccination_with_sm102__vs__baseline_0	baseline_0	Lymph Node	6	IMRS	IMRS	13.946939108182676	7.423514309677196	1	3	3	TRUE
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	primary_acute_validation	primary_acute_validation	Primary acute validation	delivery_vaccination_with_ssop__vs__baseline_0	baseline_0	Lymph Node	6	IMRS	IMRS	2.349508430440869	2.187269703261498	0.8888888888888888	3	3	TRUE
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated.tsv	extended_validation	extended_validation	Extended validation	delivery_aav9_ar45__vs__delivery_untreated	delivery_untreated	Tibialis anterior	1008	IMRS	IMRS	2.14949309685498	2.8463079583263227	1	3	3	TRUE
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated.tsv	extended_validation	extended_validation	Extended validation	delivery_aav9_gfp__vs__delivery_untreated	delivery_untreated	Tibialis anterior	1008	IMRS	IMRS	-0.05802375536641783	-0.05635347127609266	0.4444444444444444	3	3	TRUE
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	primary_acute_validation	primary_acute_validation	Primary acute validation	ad.mva__vs__none	none	blood	24	IMRS	IMRS	12.68878133451116	7.278971073158338	1	6	6	TRUE
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	primary_acute_validation	primary_acute_validation	Primary acute validation	ad_empty__vs__none	none	blood	24	IMRS	IMRS	13.17891812194547	8.718196724979686	1	6	6	TRUE
