gene_id	datasets_used	k_datasets_used	beta_meta	se_meta	sum_w	k	Q	df	I2	phase	is_core	heterogeneity_flag
ENSMUSG00000090626.10	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.3148472384693673	0.03399884216269995	865.1108231450381	5	4.721219829668301	4	0.1527613319625855	anchor	FALSE	FALSE
ENSMUSG00000061666.7	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.18333512098167046	0.038468126352189144	675.7684819529527	5	4.72077918026524	4	0.15268224857421583	anchor	FALSE	FALSE
ENSMUSG00000099760.3	GSE167521;GSE264344;GSE279372;GSE39129	4	0.18865384454632197	0.08982079769524029	123.94990110748607	4	3.5394879086010302	3	0.152419763121683	anchor	FALSE	FALSE
ENSMUSG00000057110.16	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.2916907117710566	0.022480895351004865	1978.6673705928251	5	4.718911511618376	4	0.15234689394966464	anchor	FALSE	FALSE
ENSMUSG00000045629.9	GSE167521;GSE264344;GSE279372;GSE39129	4	-0.5898607933357587	0.07576408723961203	174.21005146060898	4	3.5388433010759845	3	0.15226537465282777	anchor	FALSE	FALSE
ENSMUSG00000053128.16	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.09041774056464014	0.08800121162783248	129.12867556463218	5	4.7184528581172325	4	0.15226449849578685	anchor	FALSE	FALSE
ENSMUSG00000126792.1	GSE264344;GSE279372	2	-0.04956783615335829	0.43700014477602767	5.236448519968235	2	1.1795639984952657	1	0.1522291276474444	anchor	FALSE	FALSE
ENSMUSG00000135100.1	GSE167521;GSE264344	2	-0.8347394134897482	0.7615021518798126	1.724478285612276	2	1.1787467753399443	1	0.1516413695285781	anchor	FALSE	FALSE
ENSMUSG00000040653.7	GSE167521;GSE264344;GSE279372	3	-0.17354783520255582	0.0283473411796204	1244.4439436411274	3	2.3570362912573586	2	0.15147678997632147	anchor	FALSE	FALSE
ENSMUSG00000052915.15	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.16619201796588434	0.01370877750136436	5321.113769262944	5	4.713891823308114	4	0.1514442524493741	anchor	FALSE	FALSE
ENSMUSG00000091313.2	GSE167521;GSE264344;GSE279372;GSE279744	4	-0.5280409086004475	0.16030133249024778	38.91577960892048	4	3.535061843424324	3	0.1513585524450184	anchor	FALSE	FALSE
ENSMUSG00000142418.1	GSE264344;GSE279372	2	1.2309163082359809	1.2065877308526471	0.6868820862549709	2	1.1778589309859144	1	0.15100189530934702	anchor	FALSE	FALSE
ENSMUSG00000075370.13	GSE264344;GSE279372;GSE279744	3	-1.2660138983862403	0.3722917461850012	7.214947648614035	3	2.3555510913164266	2	0.15094178709480796	anchor	FALSE	FALSE
ENSMUSG00000045996.13	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.017893417060893254	0.03805374804248237	690.5658906719628	5	4.711012618544523	4	0.15092564510349202	anchor	FALSE	FALSE
ENSMUSG00000059852.8	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.1904514311613595	0.19173195420639888	27.202636763129345	5	4.710582102146958	4	0.1508480452602861	anchor	FALSE	FALSE
ENSMUSG00000133689.1	GSE167521;GSE264344;GSE39129	3	-0.8770315418375085	0.2732935363660124	13.388788441969172	3	2.3552613783230405	2	0.15083734722300274	anchor	FALSE	FALSE
ENSMUSG00000026219.15	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.27412545058981547	0.015366565027961679	4234.931633751454	5	4.708278458737783	4	0.15043257635353655	anchor	FALSE	FALSE
ENSMUSG00000057421.13	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.06847660532848876	0.01692247034996535	3491.985858898995	5	4.708004323206801	4	0.1503831081286162	anchor	FALSE	FALSE
ENSMUSG00000076749.3	GSE167521;GSE264344;GSE279372;GSE279744	4	-0.15209912833489098	0.05027463768450507	395.64173811899377	4	3.5307018276220714	3	0.1503105766310205	anchor	FALSE	FALSE
ENSMUSG00000101778.2	GSE167521;GSE264344	2	1.4142804139220622	0.34182140190408805	8.558575732790922	2	1.176842472044291	1	0.15026860114684526	anchor	FALSE	FALSE
ENSMUSG00000015575.16	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.04089323522118988	0.01982098753145093	2545.3612213555903	5	4.706584818929733	4	0.1501268639816862	anchor	FALSE	FALSE
ENSMUSG00000140383.1	GSE167521;GSE264344;GSE279372;GSE279744	4	0.2851651701024029	0.1130160048741745	78.29248868836005	4	3.529849339788842	3	0.15010536960213092	anchor	FALSE	FALSE
ENSMUSG00000130813.1	GSE264344;GSE279744	2	0.6305834748489806	0.3555979558738481	7.908270000984095	2	1.1765436475928837	1	0.15005278210806558	anchor	FALSE	FALSE
ENSMUSG00000032329.5	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.11615838206509813	0.015044477854088223	4418.203967182734	5	4.705072736424216	4	0.14985373785317094	anchor	FALSE	FALSE
ENSMUSG00000027835.12	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.32900656784621335	0.023568821155999335	1800.2145941661672	5	4.704191521482961	4	0.14969448379537267	anchor	FALSE	FALSE
