gse_id	split_id	signature_id	signature_label	baseline_delta_score	baseline_auc_secondary	imrs_delta_score	imrs_auc_secondary
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.0124039321451006	1	3.164769842555989	1
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.5388402338172755	1	3.164769842555989	1
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	4.43296241957709	1	4.35817929066291	1
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	6.517889530259669	1	4.35817929066291	1
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.5269902040914298	1	4.35817929066291	1
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	3.063023593385321	1	2.7627049595948865	1
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.529191680506763	1	2.7627049595948865	1
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.9415725900905154	1	2.7627049595948865	1
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	5.369708612183541	1	5.703930536988686	1
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	7.619391463187281	1	5.703930536988686	1
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.79130043925999	1	5.703930536988686	1
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	5.1204589494235595	1	5.288429542245774	1
