dataset_id	gene_id	n_contrasts_dataset	n_pass	support_in_dataset	dataset_support_flag
GSE167521	ENSMUSG00000001995.10	2	0	0	FALSE
GSE167521	ENSMUSG00000001998.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001999.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002006.13	2	0	0	FALSE
GSE167521	ENSMUSG00000002007.6	2	2	1	TRUE
GSE167521	ENSMUSG00000002010.18	2	0	0	FALSE
GSE167521	ENSMUSG00000002012.14	2	2	1	TRUE
GSE167521	ENSMUSG00000002014.13	2	0	0	FALSE
GSE167521	ENSMUSG00000002015.6	2	0	0	FALSE
GSE167521	ENSMUSG00000002017.11	2	0	0	FALSE
GSE167521	ENSMUSG00000002020.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002028.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002031.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002032.18	2	2	1	TRUE
GSE167521	ENSMUSG00000002033.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002043.18	2	0	0	FALSE
GSE167521	ENSMUSG00000002052.7	2	0	0	FALSE
GSE167521	ENSMUSG00000002055.10	2	2	1	TRUE
GSE167521	ENSMUSG00000002057.5	2	0	0	FALSE
GSE167521	ENSMUSG00000002058.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002059.19	2	0	0	FALSE
GSE167521	ENSMUSG00000002064.11	2	0	0	FALSE
GSE167521	ENSMUSG00000002068.17	2	2	1	TRUE
GSE167521	ENSMUSG00000002076.13	2	0	0	FALSE
GSE167521	ENSMUSG00000002083.14	2	0	0	FALSE
GSE167521	ENSMUSG00000002100.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002102.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002103.17	2	0	0	FALSE
GSE167521	ENSMUSG00000002104.12	2	2	1	TRUE
GSE167521	ENSMUSG00000002105.16	2	0	0	FALSE
GSE167521	ENSMUSG00000002107.20	2	0	0	FALSE
GSE167521	ENSMUSG00000002108.11	2	0	0	FALSE
GSE167521	ENSMUSG00000002109.15	2	0	0	FALSE
GSE167521	ENSMUSG00000002111.10	2	2	1	TRUE
GSE167521	ENSMUSG00000002129.12	2	0	0	FALSE
GSE167521	ENSMUSG00000002147.19	2	0	0	FALSE
GSE167521	ENSMUSG00000002190.14	2	0	0	FALSE
