gene_id	SRR13783173	SRR13783175	SRR13783177	SRR13783179	SRR13783174	SRR13783176	SRR13783178	SRR13783180
ENSMUSG00000077314.3	0	0	0	0	0	0	0	0
ENSMUSG00000133875.1	0	0	0	0	0	0	0	0
ENSMUSG00000100929.2	4	0	1	1	0	1	0	0
ENSMUSG00000041809.6	51	44	44	22	23	23	20	15
ENSMUSG00000041779.6	398	328	309	312	593	472	652	399
ENSMUSG00000137435.1	0	0	0	0	0	1	0	0
ENSMUSG00000099971.2	3	0	0	0	1	0	0	0
ENSMUSG00000129840.1	1	1	3	0	2	1	0	0
ENSMUSG00000100819.2	0	0	0	0	0	0	0	0
ENSMUSG00000129885.1	0	0	1	0	0	0	1	0
ENSMUSG00000099343.3	2	0	2	1	1	0	1	1
ENSMUSG00000025933.16	25	20	27	24	9	5	19	9
ENSMUSG00000102633.2	0	1	0	0	0	0	0	0
ENSMUSG00000025934.16	306	134	40	70	56	27	6	24
ENSMUSG00000138037.1	0	0	0	0	0	0	0	1
ENSMUSG00000096375.3	0	0	0	0	0	0	0	0
ENSMUSG00000121505.2	1	1	0	4	5	2	2	2
ENSMUSG00000025936.18	0	0	0	0	0	0	0	0
ENSMUSG00000141880.1	0	0	0	0	0	0	0	0
ENSMUSG00000093963.2	0	0	0	0	0	0	0	0
ENSMUSG00000141838.1	0	0	0	0	1	0	0	0
ENSMUSG00000067750.4	0	0	0	0	2	1	0	0
ENSMUSG00000086194.2	0	0	0	0	0	0	0	0
ENSMUSG00000141922.1	0	0	0	0	0	0	0	0
ENSMUSG00000094436.2	0	0	0	0	0	0	0	0
ENSMUSG00000041722.8	0	0	0	0	0	1	1	1
ENSMUSG00000085507.2	0	0	0	0	0	0	0	0
ENSMUSG00000094926.2	0	0	0	0	0	0	0	0
ENSMUSG00000085079.4	1	0	1	0	0	1	0	1
ENSMUSG00000129191.1	0	0	0	0	0	0	0	0
ENSMUSG00000085679.3	0	0	0	0	0	0	0	0
ENSMUSG00000028033.17	481	493	490	554	451	188	93	442
ENSMUSG00000104138.2	0	0	0	1	0	0	0	0
ENSMUSG00000128794.1	0	1	0	0	1	0	1	0
ENSMUSG00000082935.4	42	17	35	27	45	37	29	41
ENSMUSG00000103748.2	0	0	0	1	0	1	0	0
ENSMUSG00000124418.1	0	0	0	0	0	0	1	0
ENSMUSG00000123368.1	0	1	0	0	0	1	0	0
ENSMUSG00000099692.2	1	0	1	5	1	1	1	0
ENSMUSG00000140384.1	1	0	0	0	0	0	0	1
ENSMUSG00000124412.1	0	0	0	0	0	0	0	0
ENSMUSG00000100418.2	0	0	0	0	0	0	0	0
ENSMUSG00000128972.1	0	0	0	0	0	0	0	0
ENSMUSG00000135509.1	0	0	0	0	0	0	0	0
ENSMUSG00000041670.20	1	3	0	4	5	2	3	0
ENSMUSG00000097642.2	0	0	0	0	0	0	0	0
ENSMUSG00000131366.1	0	0	0	0	0	0	0	0
ENSMUSG00000141541.1	0	0	0	0	0	0	0	0
ENSMUSG00000128277.1	0	0	0	0	0	0	0	0
ENSMUSG00000101468.2	0	0	0	0	0	0	0	0
ENSMUSG00000101227.3	2	0	0	2	0	1	0	0
ENSMUSG00000073730.3	0	0	0	2	0	0	0	0
ENSMUSG00000141721.1	0	0	1	0	0	0	0	0
ENSMUSG00000141755.1	0	0	0	0	0	0	0	0
ENSMUSG00000089553.3	0	0	0	0	0	0	0	0
ENSMUSG00000102766.2	0	0	0	0	0	0	0	0
ENSMUSG00000134304.1	21	10	9	13	14	4	5	3
ENSMUSG00000065405.5	0	0	0	0	0	0	0	0
ENSMUSG00000097970.2	8	4	2	5	4	5	1	1
ENSMUSG00000065567.3	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	2	0	0	0	0	0	0	0
ENSMUSG00000133147.1	3	1	0	1	3	0	0	0
ENSMUSG00000101226.2	0	0	0	0	0	0	0	0
ENSMUSG00000026158.12	840	658	497	682	1833	1185	2087	1748
ENSMUSG00000138593.1	0	0	0	0	0	0	0	0
ENSMUSG00000097920.2	1	3	0	0	0	1	0	1
ENSMUSG00000099503.3	0	0	0	0	0	0	0	0
ENSMUSG00000142633.1	0	0	0	0	0	0	0	0
ENSMUSG00000026156.9	14	13	11	6	23	24	18	5
ENSMUSG00000026155.14	691	444	522	507	697	459	625	505
ENSMUSG00000141937.1	0	0	0	0	0	0	0	0
ENSMUSG00000141893.1	2	1	1	1	0	0	0	1
ENSMUSG00000026154.5	100	127	137	152	101	86	125	147
ENSMUSG00000102495.2	0	0	0	0	0	0	0	0
ENSMUSG00000026153.16	1972	1289	1350	1274	1999	1439	1419	1371
ENSMUSG00000143955.1	0	0	0	0	0	0	0	1
ENSMUSG00000102398.2	1	0	1	0	1	0	0	0
ENSMUSG00000122847.1	0	0	0	0	0	0	0	0
ENSMUSG00000097670.2	0	0	0	0	0	0	0	0
ENSMUSG00000026147.17	5	1	1	1	0	0	0	0
ENSMUSG00000026141.14	22	11	19	22	35	26	222	30
ENSMUSG00000125396.1	0	0	0	0	0	0	0	0
ENSMUSG00000125434.1	0	0	0	0	0	0	0	0
ENSMUSG00000077463.3	0	0	0	0	0	0	0	0
ENSMUSG00000099997.2	7	0	3	4	7	2	7	8
ENSMUSG00000100131.2	222	128	151	229	171	99	143	159
ENSMUSG00000067736.3	33	25	25	44	33	17	20	14
ENSMUSG00000138098.1	0	1	0	1	1	0	0	0
ENSMUSG00000101939.2	0	0	0	0	0	0	0	0
ENSMUSG00000101111.2	323	156	279	434	232	136	187	391
ENSMUSG00000100862.2	364	250	312	450	386	217	194	362
ENSMUSG00000102070.2	222	155	197	296	223	147	139	206
