gene_id	SRR518631	SRR518632	SRR518633	SRR518634	SRR518635	SRR518636
ENSMUSG00000097670.2	0	0	0	0	0	0
ENSMUSG00000026147.17	1	1	0	1	0	0
ENSMUSG00000026141.14	0	0	0	0	0	0
ENSMUSG00000125396.1	0	0	0	0	0	0
ENSMUSG00000125434.1	0	0	0	0	0	0
ENSMUSG00000077463.3	0	0	0	0	0	0
ENSMUSG00000099997.2	6	4	5	5	8	4
ENSMUSG00000100131.2	4	14	23	14	27	8
ENSMUSG00000067736.3	1	3	6	6	8	1
ENSMUSG00000138098.1	0	0	0	0	0	0
ENSMUSG00000101939.2	0	0	0	0	0	0
ENSMUSG00000101111.2	5	21	38	33	33	15
ENSMUSG00000100862.2	17	32	43	49	54	33
ENSMUSG00000102070.2	12	32	70	46	86	41
ENSMUSG00000101249.2	99	330	809	371	1256	327
ENSMUSG00000127021.1	0	0	2	2	0	0
ENSMUSG00000073725.9	656	818	818	965	1079	628
ENSMUSG00000133176.1	0	0	0	0	0	0
ENSMUSG00000129414.1	0	0	0	0	0	0
ENSMUSG00000143216.1	0	0	0	0	0	0
ENSMUSG00000100808.2	0	0	0	0	0	0
ENSMUSG00000130976.1	0	0	0	0	0	0
ENSMUSG00000100483.2	0	0	0	0	0	0
ENSMUSG00000135830.1	0	0	0	0	0	0
ENSMUSG00000100450.2	0	0	0	0	0	0
ENSMUSG00000099392.3	0	0	0	0	0	0
ENSMUSG00000122244.1	0	0	0	0	0	0
ENSMUSG00000033569.18	0	0	0	0	0	0
ENSMUSG00000080849.2	0	0	0	0	0	1
ENSMUSG00000122289.1	0	0	0	0	0	0
ENSMUSG00000104257.2	0	0	0	0	0	0
ENSMUSG00000119153.1	0	0	0	0	0	0
ENSMUSG00000102296.2	0	0	0	0	0	0
ENSMUSG00000103209.2	0	0	0	0	0	0
ENSMUSG00000104027.2	0	0	0	0	0	0
ENSMUSG00000102407.2	0	0	0	0	0	0
ENSMUSG00000103214.2	0	0	0	0	0	0
ENSMUSG00000104100.2	0	0	0	0	0	0
ENSMUSG00000084740.3	0	0	0	0	0	0
ENSMUSG00000103889.2	0	0	0	0	0	0
ENSMUSG00000101301.2	0	0	0	0	0	0
ENSMUSG00000104221.2	0	0	0	0	0	0
ENSMUSG00000102250.2	0	0	0	0	0	0
ENSMUSG00000102317.2	0	0	0	0	0	0
ENSMUSG00000133748.1	0	0	0	0	0	0
ENSMUSG00000103563.2	0	0	0	0	0	0
ENSMUSG00000102465.2	0	0	0	0	0	0
ENSMUSG00000102659.2	0	0	0	0	0	0
ENSMUSG00000103924.2	0	0	0	0	0	0
ENSMUSG00000104132.2	0	0	0	0	0	0
ENSMUSG00000102747.2	0	0	0	0	0	0
ENSMUSG00000102386.2	0	0	0	0	0	0
ENSMUSG00000103004.2	0	0	0	0	0	0
ENSMUSG00000144247.1	0	0	0	0	0	0
ENSMUSG00000135201.1	0	0	0	0	0	0
ENSMUSG00000104516.2	0	0	0	0	0	0
ENSMUSG00000130306.1	0	0	0	0	0	0
ENSMUSG00000101618.2	0	0	0	0	0	0
ENSMUSG00000099458.2	0	0	0	0	0	0
ENSMUSG00000088111.3	0	0	0	0	0	0
ENSMUSG00000140232.1	0	0	0	0	0	0
ENSMUSG00000073722.4	0	0	0	0	0	0
ENSMUSG00000119695.1	0	0	0	0	0	0
ENSMUSG00000133566.1	0	0	0	0	0	0
ENSMUSG00000100310.2	0	0	0	0	0	0
ENSMUSG00000129952.1	0	0	0	0	0	0
ENSMUSG00000101514.4	34	71	118	144	153	84
ENSMUSG00000101033.2	0	0	0	0	0	0
ENSMUSG00000101372.2	0	2	0	1	1	1
ENSMUSG00000129466.1	0	0	0	0	0	0
ENSMUSG00000141222.1	0	0	0	0	0	0
ENSMUSG00000139702.1	0	0	0	0	0	0
ENSMUSG00000103241.2	0	0	0	0	0	0
ENSMUSG00000086240.5	0	0	0	1	0	0
ENSMUSG00000138065.1	0	0	0	0	0	0
ENSMUSG00000048411.5	0	0	0	0	0	0
ENSMUSG00000081557.3	1	2	1	0	1	1
ENSMUSG00000058590.3	0	0	0	0	0	0
ENSMUSG00000118548.3	0	0	0	0	0	0
ENSMUSG00000124238.1	0	0	0	0	0	0
ENSMUSG00000101235.2	0	0	0	0	0	0
ENSMUSG00002075209.1	0	0	0	0	0	0
ENSMUSG00002076857.1	0	0	0	0	0	0
