dataset_id	sample_id	group	tissue	time_hr	batch	replicate	platform	library_layout	library_source	raw_treatment
GSE264344	SRR28740226	delivery_ad5	Blood	24	NA	49	NA	NA	NA	NA
GSE264344	SRR28740227	delivery_ad5	Blood	24	NA	50	NA	NA	NA	NA
GSE264344	SRR28740231	delivery_ad5	Muscle	3	NA	51	NA	NA	NA	NA
GSE264344	SRR28740232	delivery_ad5	Muscle	3	NA	52	NA	NA	NA	NA
GSE264344	SRR28740233	delivery_ad5	Muscle	3	NA	53	NA	NA	NA	NA
GSE264344	SRR28740234	delivery_ad5	Muscle	3	NA	54	NA	NA	NA	NA
GSE264344	SRR28740235	delivery_ad5	Muscle	3	NA	55	NA	NA	NA	NA
GSE264344	SRR28740241	delivery_ad5	dLN	3	NA	56	NA	NA	NA	NA
GSE264344	SRR28740242	delivery_ad5	dLN	1	NA	57	NA	NA	NA	NA
GSE264344	SRR28740243	delivery_ad5	dLN	3	NA	58	NA	NA	NA	NA
GSE264344	SRR28740244	delivery_ad5	dLN	1	NA	59	NA	NA	NA	NA
GSE264344	SRR28740245	delivery_ad5	dLN	3	NA	60	NA	NA	NA	NA
GSE264344	SRR28740246	delivery_ad5	dLN	1	NA	61	NA	NA	NA	NA
GSE264344	SRR28740247	delivery_ad5	dLN	3	NA	62	NA	NA	NA	NA
GSE264344	SRR28740248	delivery_ad5	dLN	1	NA	63	NA	NA	NA	NA
GSE264344	SRR28740249	delivery_ad5	dLN	3	NA	64	NA	NA	NA	NA
GSE264344	SRR28740250	delivery_ad5	dLN	1	NA	65	NA	NA	NA	NA
GSE264344	SRR28740252	delivery_ad5	Muscle	6	NA	66	NA	NA	NA	NA
GSE264344	SRR28740253	delivery_ad5	Muscle	6	NA	67	NA	NA	NA	NA
GSE264344	SRR28740254	delivery_ad5	Muscle	6	NA	68	NA	NA	NA	NA
GSE264344	SRR28740255	delivery_ad5	Muscle	6	NA	69	NA	NA	NA	NA
GSE264344	SRR28740256	delivery_ad5	Muscle	6	NA	70	NA	NA	NA	NA
GSE264344	SRR28740261	delivery_ad5	Blood	6	NA	71	NA	NA	NA	NA
GSE264344	SRR28740262	delivery_ad5	Blood	6	NA	72	NA	NA	NA	NA
GSE264344	SRR28740263	delivery_ad5	Blood	6	NA	73	NA	NA	NA	NA
GSE264344	SRR28740264	delivery_ad5	Blood	6	NA	74	NA	NA	NA	NA
GSE264344	SRR28740265	delivery_ad5	Blood	6	NA	75	NA	NA	NA	NA
GSE264344	SRR28740281	delivery_ad5	Blood	3	NA	76	NA	NA	NA	NA
GSE264344	SRR28740282	delivery_ad5	Blood	3	NA	77	NA	NA	NA	NA
GSE264344	SRR28740283	delivery_ad5	Blood	3	NA	78	NA	NA	NA	NA
GSE264344	SRR28740284	delivery_ad5	Blood	3	NA	79	NA	NA	NA	NA
GSE264344	SRR28740285	delivery_ad5	Blood	3	NA	80	NA	NA	NA	NA
GSE264344	SRR28740291	delivery_ad5	Muscle	1	NA	81	NA	NA	NA	NA
GSE264344	SRR28740292	delivery_ad5	Muscle	1	NA	82	NA	NA	NA	NA
GSE264344	SRR28740293	delivery_ad5	Muscle	1	NA	83	NA	NA	NA	NA
GSE264344	SRR28740294	delivery_ad5	Muscle	1	NA	84	NA	NA	NA	NA
GSE264344	SRR28740295	delivery_ad5	Muscle	1	NA	85	NA	NA	NA	NA
GSE264344	SRR28740301	delivery_ad5	Blood	1	NA	86	NA	NA	NA	NA
GSE264344	SRR28740302	delivery_ad5	Blood	1	NA	87	NA	NA	NA	NA
GSE264344	SRR28740303	delivery_ad5	Blood	1	NA	88	NA	NA	NA	NA
GSE264344	SRR28740304	delivery_ad5	Blood	1	NA	89	NA	NA	NA	NA
GSE264344	SRR28740305	delivery_ad5	Blood	1	NA	90	NA	NA	NA	NA
GSE279372	SRR30976313	baseline_0	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976314	baseline_0	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976315	baseline_0	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976316	baseline_0	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279372	SRR30976297	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976298	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976299	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976300	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279372	SRR30976305	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976306	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976307	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976308	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279372	SRR30976301	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976302	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976303	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976304	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279372	SRR30976293	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976294	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976295	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976296	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279372	SRR30976309	delivery_250_g_alum_injected	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976310	delivery_250_g_alum_injected	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976311	delivery_250_g_alum_injected	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976312	delivery_250_g_alum_injected	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279372	SRR30976289	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA	1	NA	NA	NA	NA
GSE279372	SRR30976290	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA	2	NA	NA	NA	NA
GSE279372	SRR30976291	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA	3	NA	NA	NA	NA
GSE279372	SRR30976292	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA	4	NA	NA	NA	NA
GSE279743	SRR31032963	baseline_0	Lymph Node	6	NA	1	NA	NA	NA	NA
GSE279743	SRR31032964	baseline_0	Lymph Node	6	NA	2	NA	NA	NA	NA
GSE279743	SRR31032965	baseline_0	Lymph Node	6	NA	3	NA	NA	NA	NA
GSE279743	SRR31032960	delivery_vaccination_with_sm102	Lymph Node	6	NA	1	NA	NA	NA	NA
GSE279743	SRR31032961	delivery_vaccination_with_sm102	Lymph Node	6	NA	2	NA	NA	NA	NA
GSE279743	SRR31032962	delivery_vaccination_with_sm102	Lymph Node	6	NA	3	NA	NA	NA	NA
GSE279743	SRR31032957	delivery_vaccination_with_ssop	Lymph Node	6	NA	1	NA	NA	NA	NA
GSE279743	SRR31032958	delivery_vaccination_with_ssop	Lymph Node	6	NA	2	NA	NA	NA	NA
GSE279743	SRR31032959	delivery_vaccination_with_ssop	Lymph Node	6	NA	3	NA	NA	NA	NA
GSE279744	SRR31032510	baseline_0	lymph node	6	NA	1	NA	NA	NA	NA
GSE279744	SRR31032511	baseline_0	lymph node	6	NA	2	NA	NA	NA	NA
GSE279744	SRR31032512	baseline_0	lymph node	6	NA	3	NA	NA	NA	NA
GSE279744	SRR31032507	delivery_vaccination_with_sm102	lymph node	6	NA	1	NA	NA	NA	NA
GSE279744	SRR31032508	delivery_vaccination_with_sm102	lymph node	6	NA	2	NA	NA	NA	NA
GSE279744	SRR31032509	delivery_vaccination_with_sm102	lymph node	6	NA	3	NA	NA	NA	NA
GSE279744	SRR31032504	delivery_vaccination_with_ssop	lymph node	6	NA	1	NA	NA	NA	NA
GSE279744	SRR31032505	delivery_vaccination_with_ssop	lymph node	6	NA	2	NA	NA	NA	NA
GSE279744	SRR31032506	delivery_vaccination_with_ssop	lymph node	6	NA	3	NA	NA	NA	NA
GSE39129	SRR518631	delivery_lentiviral_vector_lv_	liver	4	NA	1	NA	NA	NA	NA
GSE39129	SRR518632	delivery_lentiviral_vector_lv_	liver	4	NA	2	NA	NA	NA	NA
GSE39129	SRR518633	delivery_lentiviral_vector_lv_	liver	4	NA	3	NA	NA	NA	NA
GSE39129	SRR518634	delivery_none	liver	4	NA	1	NA	NA	NA	NA
GSE39129	SRR518635	delivery_none	liver	4	NA	2	NA	NA	NA	NA
GSE39129	SRR518636	delivery_none	liver	4	NA	3	NA	NA	NA	NA
