sample_id	group	tissue	timepoint_hr	batch
SRR28740228	delivery_ad26	Blood	24	NA
SRR28740229	delivery_ad26	Blood	24	NA
SRR28740230	delivery_ad26	Blood	24	NA
SRR28740231	delivery_ad5	Muscle	3	NA
SRR28740232	delivery_ad5	Muscle	3	NA
SRR28740233	delivery_ad5	Muscle	3	NA
SRR28740234	delivery_ad5	Muscle	3	NA
SRR28740235	delivery_ad5	Muscle	3	NA
SRR28740236	delivery_ad26	Muscle	3	NA
SRR28740237	delivery_ad26	Muscle	3	NA
SRR28740238	delivery_ad26	Muscle	3	NA
SRR28740239	delivery_ad26	Muscle	3	NA
SRR28740240	delivery_ad26	Muscle	3	NA
SRR28740241	delivery_ad5	dLN	3	NA
SRR28740242	delivery_ad5	dLN	1	NA
SRR28740243	delivery_ad5	dLN	3	NA
SRR28740244	delivery_ad5	dLN	1	NA
SRR28740245	delivery_ad5	dLN	3	NA
SRR28740246	delivery_ad5	dLN	1	NA
SRR28740247	delivery_ad5	dLN	3	NA
SRR28740248	delivery_ad5	dLN	1	NA
SRR28740249	delivery_ad5	dLN	3	NA
SRR28740250	delivery_ad5	dLN	1	NA
SRR28740251	delivery_ad26	Blood	12	NA
SRR28740252	delivery_ad5	Muscle	6	NA
SRR28740253	delivery_ad5	Muscle	6	NA
SRR28740254	delivery_ad5	Muscle	6	NA
SRR28740255	delivery_ad5	Muscle	6	NA
SRR28740256	delivery_ad5	Muscle	6	NA
SRR28740257	delivery_ad26	Muscle	6	NA
SRR28740258	delivery_ad26	Muscle	6	NA
SRR28740259	delivery_ad26	Muscle	6	NA
SRR28740260	delivery_ad26	Muscle	6	NA
SRR28740261	delivery_ad5	Blood	6	NA
SRR28740262	delivery_ad5	Blood	6	NA
SRR28740263	delivery_ad5	Blood	6	NA
SRR28740264	delivery_ad5	Blood	6	NA
SRR28740265	delivery_ad5	Blood	6	NA
SRR28740266	delivery_ad26	Blood	6	NA
SRR28740267	delivery_ad26	Blood	6	NA
SRR28740268	delivery_ad26	Blood	6	NA
SRR28740269	delivery_ad26	Blood	6	NA
SRR28740270	delivery_ad26	Blood	6	NA
SRR28740271	delivery_ad26	dLN	3	NA
SRR28740272	delivery_ad26	dLN	1	NA
SRR28740273	delivery_ad26	dLN	3	NA
SRR28740274	delivery_ad26	dLN	1	NA
SRR28740275	delivery_ad26	dLN	3	NA
SRR28740276	delivery_ad26	dLN	1	NA
SRR28740277	delivery_ad26	dLN	3	NA
SRR28740278	delivery_ad26	dLN	1	NA
SRR28740279	delivery_ad26	dLN	3	NA
SRR28740280	delivery_ad26	dLN	1	NA
SRR28740281	delivery_ad5	Blood	3	NA
SRR28740282	delivery_ad5	Blood	3	NA
SRR28740283	delivery_ad5	Blood	3	NA
