sample_id	tissue	timepoint_hr	batch	condition_simple	group	raw_time_label	time_reference_event
SRR10358662	blood	24	NA	DELIVERY	ad_empty	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358663	blood	24	NA	DELIVERY	trumenba	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358664	blood	24	NA	DELIVERY	trumenba	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358665	blood	24	NA	DELIVERY	trumenba	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358666	blood	24	NA	DELIVERY	trumenba	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358667	blood	24	NA	DELIVERY	trumenba	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358668	blood	24	NA	DELIVERY	trumenba	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358669	blood	24	NA	DELIVERY	tru.tru	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358670	blood	24	NA	DELIVERY	tru.tru	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358671	blood	24	NA	DELIVERY	tru.tru	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358672	blood	24	NA	DELIVERY	tru.tru	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358673	blood	24	NA	DELIVERY	tru.tru	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358674	blood	24	NA	DELIVERY	ad_pref	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358675	blood	24	NA	DELIVERY	ad_pref	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358676	blood	24	NA	DELIVERY	ad_pref	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358677	blood	24	NA	DELIVERY	ad_pref	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358678	blood	24	NA	DELIVERY	ad_pref	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358679	blood	24	NA	DELIVERY	ad_pref	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
