Database	Term ID	Term name	Overlap count	Tested-gene denominator	Background term count	Background denominator	Gene ratio	Background ratio	Nominal p-value	Adjusted p-value (FDR)	q-value	Mapped retained genes
GO Biological Process	GO:0002885	positive regulation of hypersensitivity	3	241	26	18659	0.012448132780082987	0.0013934294442360254	0.004442437242422	0.0272419649168714	0.0210206418100434	Fcgr1;H2-T22;H2-T10
GO Biological Process	GO:0032819	positive regulation of natural killer cell proliferation	3	241	26	18659	0.012448132780082987	0.0013934294442360254	0.004442437242422	0.0272419649168714	0.0210206418100434	H2-T22;Il15;H2-T10
GO Biological Process	GO:0070498	interleukin-1-mediated signaling pathway	3	241	26	18659	0.012448132780082987	0.0013934294442360254	0.004442437242422	0.0272419649168714	0.0210206418100434	Il1rn;Zbp1;Myd88
GO Biological Process	GO:0032612	interleukin-1 production	6	241	119	18659	0.024896265560165973	0.006377619379387963	0.0045020816309151	0.0275415113680205	0.0212517800070966	Lilrb4b;Gbp5;Casp4;Lgals9;Pml;Myd88
GO Biological Process	GO:0046638	positive regulation of alpha-beta T cell differentiation	4	241	52	18659	0.016597510373443983	0.002786858888472051	0.0045224401544984	0.0275998680242239	0.021296809591821	Socs1;Lilrb4b;Pnp;Irf1
GO Biological Process	GO:0050766	positive regulation of phagocytosis	5	241	84	18659	0.02074688796680498	0.004501848973685621	0.004651870277438	0.0283220073454521	0.0218540319527927	Ccl2;Fcgr1;Fpr2;Cd300lf;Il15
GO Biological Process	GO:0050728	negative regulation of inflammatory response	7	241	159	18659	0.029045643153526972	0.008521356985904924	0.004666400182105	0.0283428258679761	0.02187009609157	Acod1;Igtp;Fpr2;Irgm2;Irgm1;Socs3;Lgals9
GO Biological Process	GO:0006914	autophagy	14	241	494	18659	0.058091286307053944	0.026475159440484484	0.0051137703228795	0.0309128627811982	0.0238532065447361	Trim30c;Iigp1;Igtp;Rnf213;Trim30d;Irgm2;Irgm1;Trim30a;Tlr9;Trim21;S100a9;Trim34a;Trim12c;1600014C10Rik
GO Biological Process	GO:0061919	process utilizing autophagic mechanism	14	241	494	18659	0.058091286307053944	0.026475159440484484	0.0051137703228795	0.0309128627811982	0.0238532065447361	Trim30c;Iigp1;Igtp;Rnf213;Trim30d;Irgm2;Irgm1;Trim30a;Tlr9;Trim21;S100a9;Trim34a;Trim12c;1600014C10Rik
GO Biological Process	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	5	241	86	18659	0.02074688796680498	0.004609035854011469	0.0051401515221159	0.030925770124806	0.0238631662024747	Ccl2;H2-T24;Pnp;H2-T22;H2-T10
GO Biological Process	GO:0090398	cellular senescence	5	241	86	18659	0.02074688796680498	0.004609035854011469	0.0051401515221159	0.030925770124806	0.0238631662024747	Cgas;Pnpt1;Rbl1;Cdkn1a;Pml
GO Biological Process	GO:1901136	carbohydrate derivative catabolic process	7	241	162	18659	0.029045643153526972	0.008682137306393698	0.0051626514715382	0.0309358826128175	0.0238709692735434	Pnp2;Upp1;Chil3;Pnp;Xdh;Samhd1;Mmp12
GO Biological Process	GO:0045581	negative regulation of T cell differentiation	4	241	54	18659	0.016597510373443983	0.002894045768797899	0.0051782132009694	0.0309358826128175	0.0238709692735434	Socs1;Lilrb4b;Fgl2;Irf1
GO Biological Process	GO:1990928	response to amino acid starvation	4	241	54	18659	0.016597510373443983	0.002894045768797899	0.0051782132009694	0.0309358826128175	0.0238709692735434	Atf3;Eif2ak2;Cdkn1a;Fas
GO Biological Process	GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus	3	241	28	18659	0.012448132780082987	0.0015006163245618737	0.0054924121417921	0.0326600078641299	0.0252013512578856	Fcgr1;H2-T22;H2-T10
GO Biological Process	GO:0032817	regulation of natural killer cell proliferation	3	241	28	18659	0.012448132780082987	0.0015006163245618737	0.0054924121417921	0.0326600078641299	0.0252013512578856	H2-T22;Il15;H2-T10
GO Biological Process	GO:0001914	regulation of T cell mediated cytotoxicity	4	241	55	18659	0.016597510373443983	0.002947639208960823	0.0055287522475368	0.032723542885073	0.0252503766098275	H2-T24;Pnp;H2-T22;H2-T10
GO Biological Process	GO:0019083	viral transcription	4	241	55	18659	0.016597510373443983	0.002947639208960823	0.0055287522475368	0.032723542885073	0.0252503766098275	Ifitm3;Sp100;Trim21;Trim14
GO Biological Process	GO:0031648	protein destabilization	4	241	56	18659	0.016597510373443983	0.0030012326491237473	0.0058947914851249	0.0348092895336893	0.0268597955097068	Igtp;Irgm2;Irgm1;Trim21
GO Biological Process	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	6	241	126	18659	0.024896265560165973	0.0067527734605284315	0.0059333658111102	0.0349561574691507	0.0269731228072837	Stat1;Tnfsf10;Pml;Xdh;S100a9;Fas
GO Biological Process	GO:0045070	positive regulation of viral genome replication	3	241	29	18659	0.012448132780082987	0.0015542097647247978	0.0060684449104163	0.0355875930263726	0.0274603556744792	Gbp7;Gbp3;Adar
GO Biological Process	GO:0060907	positive regulation of macrophage cytokine production	3	241	29	18659	0.012448132780082987	0.0015542097647247978	0.0060684449104163	0.0355875930263726	0.0274603556744792	Tlr3;Casp4;Myd88
GO Biological Process	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	5	241	91	18659	0.02074688796680498	0.004877003054826089	0.0065178451674421	0.0381353739040022	0.0294262927646471	Isg15;Gbp4;Dtx3l;Parp10;Trim21
GO Biological Process	GO:0032757	positive regulation of interleukin-8 production	4	241	58	18659	0.016597510373443983	0.0031084195294495956	0.0066745316865039	0.0387244281346138	0.029880823046371	Tlr3;Tlr9;Rigi;Myd88
GO Biological Process	GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	3	241	30	18659	0.012448132780082987	0.0016078032048877217	0.0066792427986005	0.0387244281346138	0.029880823046371	H2-T24;H2-T22;H2-T10
