Dataset	Split identifier	Manuscript analysis group	Biological system or tissue	Timepoint (h)	Delivery group	Control group	Delivery platform or modality	Number of delivery samples	Number of control samples	Mean delivery-minus-control delta IMRSz	Median delivery-minus-control delta IMRSz	AUC (secondary)	Cohen d	Two-sample t-test p-value	Direction	Scoring status	Inferential-statistic status	Biological-context note
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Muscle	12	delivery ad26	baseline 0	adenoviral vector	5	5	4.379052454232406	4.365628425496183	1.0	9.657282405125711	1.1810579874968552e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Muscle	12	delivery ad5	baseline 0	adenoviral vector	5	5	4.561337243094393	4.662253781505173	1.0	8.419468467737993	4.57234716356121e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	dLN	12	delivery ad26	baseline 0	adenoviral vector	5	5	5.521888634175941	5.66139416165715	1.0	17.188954687462182	9.012498774366282e-07	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	dLN	12	delivery ad5	baseline 0	adenoviral vector	5	5	5.006224300092883	5.236562789721438	1.0	12.17889551038345	5.7577509226014754e-08	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Blood	24	delivery ad26	baseline 0	adenoviral vector	5	5	2.7381119047981937	2.8409511832488823	1.0	20.230243126585624	1.0915770468664876e-09	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Blood	24	delivery ad5	baseline 0	adenoviral vector	5	5	1.4094733289679715	1.527523130639822	1.0	9.901510224271554	3.653543362429989e-07	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Muscle	24	delivery ad26	baseline 0	adenoviral vector	5	5	3.5649069751207745	3.686602564194637	1.0	6.727938415890762	0.00012705857574302437	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Muscle	24	delivery ad5	baseline 0	adenoviral vector	5	5	3.5245362334746155	3.933413829935869	1.0	3.712253239402656	0.0033696830405571	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	dLN	24	delivery ad26	baseline 0	adenoviral vector	5	5	3.75024700596753	3.804954342327555	1.0	8.895865556203887	6.345832876625485e-07	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	dLN	24	delivery ad5	baseline 0	adenoviral vector	5	5	3.164769842555989	3.3113600106164194	1.0	10.161856237280338	3.074016226916336e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
